"LOC" "A" "spattemp_cluster" "samplingpair" "height"
"1" "Airolo, Lüvina" 1981 "1981_1" NA 1199.5
"2" "Airolo, Lüvina" 1982 "1982_1" NA 1199.5
"3" "Airolo, Lüvina" 1983 "1983_1" NA 1199.5
"4" "Airolo, Lüvina" 1984 "1984_1" NA 1199.5
"5" "Altdorf, Kapuzinerkloster" 1982 "1982_2" NA 551.2
"6" "Altdorf, Kapuzinerkloster" 1983 "1983_2" NA 551.2
"7" "Altdorf, Vogelsang" 1979 "1979_1" NA 482.2
"8" "Altdorf, Vogelsang" 1980 "1980_1" NA 482.2
"9" "Altdorf, Vogelsang" 1981 "1981_2" NA 482.2
"10" "Arth-Goldau, Schuttwald" 1990 "1990_1" 20 476
"11" "Arth-Goldau, Schuttwald" 1991 "1991_1" 20 476
"12" "Baldegg - Institut" 1981 "1981_3" NA 478.2
"13" "Baldegg - Institut" 1982 "1982_3" NA 478.2
"14" "Barges [Vouvry, Les Barges]" 1988 "1988_1" NA 380.5
"15" "Barges [Vouvry, Les Barges]" 1989 "1989_1" NA 380.5
"16" "Barges [Vouvry, Les Barges]" 1990 "1990_2" NA 380.5
"17" "Bellinzona, Via Sasso Corbaro" 1999 "1999_1" NA 413.7
"18" "Bellinzona, Via Sasso Corbaro" 2000 "2000_1" NA 413.7
"19" "Bellinzona, Via Sasso Corbaro" 2001 "2001_1" NA 413.7
"20" "Bellinzona, Via Sasso Corbaro" 2002 "2002_1" NA 413.7
"21" "Bellinzona, Via Sasso Corbaro" 2003 "2003_1" NA 413.7
"22" "Biasca-Loderio, Bolla, Wald" 1992 "1992_1" 1 354.3
"23" "Biasca-Loderio, Bolla, Wald" 1995 "1995_1" 1 354.3
"24" "Biasca-Loderio, Bolla, Wald" 2000 "2000_2" 1 354.3
"25" "Biasca-Loderio, Bolla, Wald" 2004 "2004_1" 1 354.3
"26" "Biasca-Loderio, Bolla, Wald" 2005 "2005_1" 1 354.3
"27" "Biasca-Loderio, Bolla, Wald" 2006 "2006_1" 1 354.3
"28" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1992 "1992_1" 1 347.5
"29" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1995 "1995_1" 1 347.5
"30" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1998 "1998_1" 1 347.5
"31" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1999 "1999_2" 1 347.5
"32" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 2004 "2004_1" 1 347.5
"33" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 2005 "2005_1" 1 347.5
"34" "Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 2006 "2006_1" 1 347.5
"35" "Boncourt, La Rochette (sud), l'Allaine" 2009 "2009_1" 3 375.5
"36" "Boncourt, La Rochette (sud), l'Allaine" 2010 "2010_1" 3 375.5
"37" "Boncourt, La Rochette (sud), l'Allaine" 2011 "2011_1" 3 375.5
"38" "Bonfol, Bois les Boulats (nord-ouest), Les étangs (ouest)" 2006 "2006_2" 2 437.2
"39" "Bonfol, Bois les Boulats (nord-ouest), Les étangs (ouest)" 2007 "2007_1" 2 437.2
"40" "Bonfol, Bois les Boulats (nord-ouest), Les étangs (ouest)" 2008 "2008_1" 2 437.2
"41" "Bonfol, Troncheré (sud), Les étangs (est)" 2006 "2006_2" 2 441.6
"42" "Bonfol, Troncheré (sud), Les étangs (est)" 2007 "2007_1" 2 441.6
"43" "Bonfol, Troncheré (sud), Les étangs (est)" 2008 "2008_1" 2 441.6
"44" "Braunwald, Gumen, Berggasthaus" 2008 "2008_2" NA 2020
"45" "Braunwald, Gumen, Berggasthaus" 2009 "2009_2" NA 2020
"46" "Braunwald, Gumen, Berggasthaus" 2010 "2010_2" NA 2020
"47" "Braunwald, Gumen, Berggasthaus" 2011 "2011_2" NA 2020
"48" "Brisen, Haldigrat, Restaurant" 1972 "1972_1" NA 1924.1
"49" "Brisen, Haldigrat, Restaurant" 1973 "1973_1" NA 1924.1
"50" "Brisen, Haldigrat, Restaurant" 1974 "1974_1" NA 1924.1
"51" "Brisen, Haldigrat, Restaurant" 1975 "1975_1" NA 1924.1
"52" "Buix, Sous les Cantons (ouest)" 2009 "2009_1" 3 408.8
"53" "Buix, Sous les Cantons (ouest)" 2010 "2010_1" 3 408.8
"54" "Buix, Sous les Cantons (ouest)" 2011 "2011_1" 3 408.8
"55" "Camedo (Centovalli), Süd, Wiese" 2015 "2015_1" 4 528.7
"56" "Camedo (Centovalli), Süd, Wiese" 2016 "2016_1" 4 528.7
"57" "Camedo (Centovalli), Süd, Wiese" 2017 "2017_1" 4 528.7
"58" "Camedo (Centovalli), Süd, Wiese" 2018 "2018_1" 4 528.7
"59" "Camedo (Centovalli), West, Wald" 2015 "2015_1" 4 601.8
"60" "Camedo (Centovalli), West, Wald" 2016 "2016_1" 4 601.8
"61" "Camedo (Centovalli), West, Wald" 2017 "2017_1" 4 601.8
"62" "Camedo (Centovalli), West, Wald" 2018 "2018_1" 4 601.8
"63" "Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2015 "2015_2" 5 479.9
"64" "Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2016 "2016_2" 5 479.9
"65" "Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2017 "2017_2" 5 479.9
"66" "Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2018 "2018_2" 5 479.9
"67" "Caslano, Mt. Caslano, Nordseite" 2015 "2015_2" 5 389.7
"68" "Caslano, Mt. Caslano, Nordseite" 2016 "2016_2" 5 389.7
"69" "Caslano, Mt. Caslano, Nordseite" 2017 "2017_2" 5 389.7
"70" "Caslano, Mt. Caslano, Nordseite" 2018 "2018_2" 5 389.7
"71" "Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2015 "2015_2" 5 342.4
