Species	Body size	Temp. niche	Specialisation	Overw. stage
Lemonia taraxaci	large	intermediate	oligophagous	egg
Cossus cossus	large	intermediate	polyphagous	larva
Phragmataecia castaneae	large	warm	monophagous	larva
Zeuzera pyrina	large	warm	polyphagous	larva
Achlya flavicornis	large	cold	monophagous	pupa
Cilix glaucata	small	warm	oligophagous	pupa
Cymatophorina diluta	medium	warm	monophagous	egg
Drepana curvatula	medium	intermediate	oligophagous	pupa
Drepana falcataria	medium	cold	oligophagous	pupa
Falcaria lacertinaria	medium	cold	oligophagous	pupa
Habrosyne pyritoides	large	warm	monophagous	pupa
Ochropacha duplaris	medium	cold	polyphagous	pupa
Polyploca ridens	medium	warm	monophagous	pupa
Sabra harpagula	medium	intermediate	polyphagous	pupa
Tethea ocularis	large	warm	monophagous	pupa
Tethea or	large	intermediate	monophagous	pupa
Tetheella fluctuosa	large	cold	monophagous	pupa
Thyatira batis	large	intermediate	monophagous	pupa
Watsonalla binaria	medium	warm	monophagous	pupa
Watsonalla cultraria	medium	warm	monophagous	pupa
Watsonalla uncinula	medium	warm	monophagous	pupa
Endromis versicolora	large	cold	polyphagous	pupa
Arctia caja	large	intermediate	polyphagous	larva
Arctia flavia	large	cold	polyphagous	larva
Arctia matronula	large	cold	polyphagous	larva
Arctia testudinaria	medium	warm	polyphagous	larva
Arctia villica	large	warm	polyphagous	larva
Arctornis l-nigrum	medium	warm	polyphagous	larva
Atolmis rubricollis	medium	intermediate	polyphagous	pupa
Autophila dilucida	medium	warm	oligophagous	adult
Callimorpha dominula	large	intermediate	polyphagous	larva
Calliteara pudibunda	large	warm	polyphagous	pupa
Calyptra thalictri	medium	cold	monophagous	larva
Catephia alchymista	medium	warm	monophagous	pupa
Catocala coniuncta	large	warm	monophagous	egg
Catocala dilecta	large	warm	monophagous	egg
Catocala electa	large	warm	oligophagous	egg
Catocala elocata	large	warm	monophagous	egg
Catocala fraxini	large	cold	polyphagous	egg
Catocala fulminea	large	intermediate	monophagous	egg
Catocala nupta	large	warm	polyphagous	egg
Catocala nymphaea	large	warm	monophagous	egg
Catocala nymphagoga	medium	warm	monophagous	egg
Catocala promissa	large	warm	monophagous	egg
Catocala puerpera	large	warm	oligophagous	egg
Catocala sponsa	large	intermediate	monophagous	egg
Chelis simplonica	medium	cold	polyphagous	larva
Colobochyla salicalis	medium	intermediate	oligophagous	pupa
Coscinia cribraria	medium	intermediate	polyphagous	larva
Cybosia mesomella	medium	intermediate	polyphagous	larva
Diacrisia purpurata	large	intermediate	polyphagous	larva
Diacrisia sannio	medium	intermediate	polyphagous	larva
Diaphora mendica	medium	intermediate	polyphagous	pupa
Diaphora sordida	small	cold	polyphagous	pupa
Dysgonia algira	medium	warm	polyphagous	pupa
Eilema caniola	medium	warm	polyphagous	larva
Eilema cereola	medium	cold	polyphagous	larva
Eilema complana	medium	intermediate	polyphagous	larva
Eilema depressa	medium	intermediate	polyphagous	larva
Eilema griseola	medium	intermediate	polyphagous	larva
Eilema lurideola	medium	intermediate	polyphagous	larva
Eilema lutarella	medium	cold	polyphagous	larva
Eilema palliatella	medium	intermediate	polyphagous	larva
Eilema pseudocomplana	medium	warm	polyphagous	larva
Eilema pygmaeola	medium	warm	polyphagous	larva
Eilema sororcula	medium	warm	polyphagous	pupa
Epatolmis luctifera	medium	warm	polyphagous	pupa
Eublemma ostrina	small	warm	monophagous	pupa
Eublemma parva	small	warm	oligophagous	pupa
Eublemma polygramma	small	warm	NA	NA
Eublemma purpurina	small	warm	oligophagous	larva
Euplagia quadripunctaria	large	warm	polyphagous	larva
Euproctis chrysorrhoea	medium	warm	polyphagous	larva
Grammodes stolida	medium	warm	polyphagous	pupa
Gynaephora fascelina	medium	cold	polyphagous	larva
Herminia grisealis	medium	intermediate	polyphagous	pupa
Herminia tarsicrinalis	medium	intermediate	polyphagous	larva
Herminia tarsipennalis	medium	intermediate	polyphagous	larva
Herminia tenuialis	small	warm	polyphagous	pupa
Hypena crassalis	medium	cold	monophagous	pupa
Hypena lividalis	small	warm	oligophagous	adult
Hypena obesalis	medium	intermediate	polyphagous	adult
Hypena obsitalis	medium	warm	oligophagous	adult
Hypena proboscidalis	medium	intermediate	polyphagous	larva
Hypena rostralis	medium	intermediate	monophagous	adult
Hypenodes humidalis	small	cold	polyphagous	larva
Hyphantria cunea	medium	warm	polyphagous	pupa
Idia calvaria	medium	warm	polyphagous	larva
Laspeyria flexula	medium	intermediate	polyphagous	larva
Leucoma salicis	large	cold	oligophagous	larva
Lithosia quadra	medium	warm	polyphagous	larva
Lygephila craccae	medium	warm	oligophagous	egg
Lygephila lusoria	large	intermediate	oligophagous	larva
Lygephila pastinum	medium	intermediate	oligophagous	larva
Lygephila viciae	medium	cold	oligophagous	pupa
Lymantria dispar	large	warm	polyphagous	egg
Lymantria monacha	large	intermediate	polyphagous	egg
Macrochilo cribrumalis	medium	intermediate	polyphagous	larva
Metachrostis dardouini	small	warm	monophagous	pupa
Miltochrista miniata	medium	intermediate	polyphagous	larva
Minucia lunaris	large	warm	monophagous	pupa
Nudaria mundana	small	intermediate	polyphagous	larva
Ocneria rubea	medium	warm	polyphagous	larva
Ocnogyna parasita	medium	intermediate	polyphagous	pupa
Orgyia antiqua	medium	intermediate	polyphagous	egg
Orgyia recens	medium	intermediate	polyphagous	larva
Paidia rica	medium	warm	polyphagous	larva
Paracolax tristalis	medium	warm	polyphagous	larva
Parascotia fuliginaria	small	intermediate	polyphagous	larva
Pechipogo strigilata	medium	cold	polyphagous	larva
Pelosia muscerda	medium	intermediate	polyphagous	larva
Pelosia obtusa	small	intermediate	NA	larva
Phragmatobia fuliginosa	medium	intermediate	polyphagous	larva
Phytometra viridaria	small	warm	monophagous	pupa
Polypogon gryphalis	medium	intermediate	polyphagous	larva
Polypogon plumigeralis	medium	warm	polyphagous	larva
Polypogon tentacularia	medium	cold	polyphagous	larva
Rivula sericealis	small	intermediate	polyphagous	larva
Schrankia costaestrigalis	small	intermediate	polyphagous	larva
Schrankia taenialis	small	warm	polyphagous	pupa
Scoliopteryx libatrix	medium	intermediate	polyphagous	adult
Setina irrorella	medium	cold	polyphagous	larva
Sphrageidus similis	medium	cold	polyphagous	larva
Spilarctia lutea	medium	intermediate	polyphagous	pupa
Spilosoma lubricipeda	medium	intermediate	polyphagous	pupa
